-5.334,0.906,0.91,0.837
-5.2832,0.875,0.924,0.916
-5.2324,0.892,0.85,0.853
-5.1816,0.904,0.924,0.946
-5.1308,0.932,0.923,0.967
-5.08,1.116,1.173,1.122
-5.0292,1.07,1.042,1.074
-4.9784,1.61,1.496,1.521
-4.9276,1.504,1.492,1.425
-4.8768,2.026,1.962,1.983
-4.826,2.121,2.112,2.141
-4.7752,2.58,2.481,2.532
-4.7244,2.926,2.987,2.884
-4.6736,3.275,3.311,3.276
-4.6228,3.716,3.727,3.645
-4.572,4.236,4.136,4.195
-4.5212,4.622,4.605,4.642
-4.4704,4.677,4.476,4.563
-4.4196,5.613,5.674,5.499
-4.3688,5.177,5.063,5.195
-4.318,6.175,6.265,6.015
-4.2672,5.524,5.546,5.545
-4.2164,5.603,5.557,5.567
-4.1656,5.824,5.934,5.917
-4.1148,5.284,5.01,5.337
-4.064,4.55,4.386,4.587
-4.0132,4.992,5.055,5.057
-3.9624,3.807,3.816,3.892
-3.9116,3.802,3.893,3.87
-3.8608,3.105,3.095,3.153
-3.81,2.812,2.797,2.936
-3.7592,2.24,2.296,2.33
-3.7084,1.966,1.965,1.944
-3.6576,1.445,1.403,1.545
-3.6068,1.403,1.342,1.34
-3.556,1.046,1.104,1.145
-3.5052,1.223,1.215,1.244
-3.4544,1.203,1.2,1.153
-3.4036,1.585,1.546,1.623
-3.3528,1.667,1.786,1.692
-3.302,2.596,2.597,2.669
-3.2512,2.62,2.643,2.666
-3.2004,4.315,4.17,4.261
-3.1496,4.427,4.696,4.71
-3.0988,6.495,6.546,6.511
-3.048,7.04,6.94,6.892
-2.9972,8.692,8.571,8.64
-2.9464,9.896,9.725,9.896
-2.8956,11.569,11.521,11.705
-2.8448,12.406,12.233,12.12
-2.794,13.9,13.634,14.096
-2.7432,14.1,13.016,13.245
-2.6924,15.199,15.254,15.026
-2.6416,15.542,15.143,15.242
-2.5908,16.824,16.994,17.003
-2.54,17.065,17.045,17.053
-2.4892,16.452,16.334,16.293
-2.4384,17.337,17.166,17.256
-2.3876,15.113,15.185,14.97
-2.3368,16.355,16.305,16.667
-2.286,13.382,13.176,13.34
-2.2352,12.716,12.973,12.946
-2.1844,10.122,10.007,10.121
-2.1336,8.925,9.004,8.854
-2.0828,7.202,7.343,7.29
-2.032,5.89,6.056,6.002
-1.9812,4.155,4.173,4.232
-1.9304,3.365,3.275,3.326
-1.8796,2.002,2.005,2.045
-1.8288,1.886,1.862,1.923
-1.778,1.317,1.311,1.3
-1.7272,1.976,1.895,1.915
-1.6764,2.115,1.985,1.986
-1.6256,3.794,3.835,3.885
-1.5748,4.046,4.17,4.181
-1.524,7.189,7.425,7.114
-1.4732,8.045,7.903,7.887
-1.4224,11.425,11.242,11.336
-1.3716,12.955,13.135,13.241
-1.3208,16.567,16.268,16.345
-1.27,19.556,19.335,19.312
-1.2192,22.396,22.37,22.075
-1.1684,24.205,24.1,23.93
-1.1176,26.946,26.921,27.105
-1.0668,27.225,27.085,27.361
-1.016,30.786,30.827,30.551
-0.9652,31.266,31.131,31.117
-0.9144,32.025,31.746,32.141
-0.8636,33.071,32.93,33.125
-0.8128,29.233,29.306,29.282
-0.762,31.526,31.571,31.566
-0.7112,25.48,25.825,25.102
-0.6604,27.77,27.613,27.566
-0.6096,22.542,22.455,22.607
-0.5588,21.816,21.941,22.02
-0.508,18.437,18.613,18.741
-0.4572,16.434,16.467,16.763
-0.4064,13.786,13.894,13.876
-0.3556,11.668,11.776,11.686
-0.3048,8.645,8.506,8.73
-0.254,7.533,7.365,7.386
-0.2032,4.504,4.47,4.54
-0.1524,3.992,3.961,4.025
-0.1016,2.12,2.034,2.12
-0.0508,2.497,2.441,2.574
0,1.677,1.746,1.624
0.0508,3.457,3.465,3.515
0.1016,3.3,3.276,3.224
0.1524,6.212,6.19,6.246
0.2032,7.012,7.057,7.046
0.254,10.164,10.032,10.105
0.3048,12.703,12.716,12.786
0.3556,14.84,14.802,14.953
0.4064,17.705,17.815,17.675
0.4572,19.914,20.035,19.895
0.508,22.036,22.316,22.306
0.5588,25.831,26.046,25.613
0.6096,26.597,26.501,26.337
0.6604,29.19,29.494,29.391
0.7112,30.165,29.825,30.06
0.762,29.567,29.652,29.336
0.8128,32.352,32.255,32.376
0.8636,27.595,27.571,27.365
0.9144,31.04,31.194,31.363
0.9652,25.164,24.913,25.501
1.016,27.7,27.602,27.843
1.0668,23.087,23.055,23.003
1.1176,22.405,22.465,22.56
1.1684,19.314,19.496,19.405
1.2192,17.246,17.06,17.016
1.27,14.405,14.517,14.356
1.3208,12.725,12.891,12.506
1.3716,9.525,9.706,9.615
1.4224,8.474,8.775,8.554
1.4732,5.745,5.496,5.555
1.524,5.012,5.106,4.947
1.5748,3.124,3.096,3.067
1.6256,3.086,3.026,2.99
1.6764,2.055,2.106,2.137
1.7272,2.806,2.705,2.675
1.778,2.44,2.345,2.357
1.8288,3.714,3.7,3.742
1.8796,4.021,3.95,4.042
1.9304,5.596,5.622,5.474
1.9812,6.815,6.883,6.917
2.032,8.106,8.146,8.157
2.0828,9.746,9.655,9.556
2.1336,11.034,10.948,11.266
2.1844,11.936,11.821,11.631
2.2352,13.475,13.483,13.683
2.286,13.897,13.544,13.521
2.3368,14.653,15,14.884
2.3876,16.134,16.184,16.043
2.4384,15.237,15.131,15.153
2.4892,17.495,17.286,17.506
2.54,17.676,17.353,17.435
2.5908,16.916,16.981,17.042
2.6416,14.36,14.295,14.196
2.6924,13.93,13.993,13.946
2.7432,11.032,11.056,11.066
2.794,10.371,10.424,10.461
2.8448,9.012,8.95,8.846
2.8956,7.34,7.404,7.206
2.9464,6.156,6.465,6.555
2.9972,5.453,5.497,5.463
3.048,4.1,4.2,4.026
3.0988,3.914,3.927,3.796
3.1496,2.765,2.715,2.701
3.2004,2.632,2.765,2.751
3.2512,2.183,2.145,2.156
3.302,1.802,1.847,1.863
3.3528,1.925,1.921,1.945
3.4036,1.575,1.555,1.514
3.4544,1.862,1.831,1.923
3.5052,1.455,1.476,1.52
3.556,2.068,2.02,2.105
3.6068,1.496,1.543,1.506
3.6576,2.336,2.352,2.326
3.7084,2.063,2.002,1.976
3.7592,2.636,2.522,2.505
3.81,2.635,2.651,2.633
3.8608,2.905,2.92,2.892
3.9116,2.846,2.881,2.946
3.9624,3.56,3.464,3.557
4.0132,2.623,2.84,2.664
4.064,3.941,3.964,3.936
4.1148,2.432,2.475,2.477
4.1656,3.833,3.86,3.932
4.2164,2.416,2.284,2.343
4.2672,3.116,3.115,3.145
4.318,2.293,2.345,2.367
4.3688,2.391,2.266,2.451
4.4196,2.302,2.294,2.255
4.4704,1.726,1.762,1.71
4.5212,1.847,1.873,1.876
4.572,1.353,1.364,1.384
4.6228,1.5,1.393,1.48
4.6736,1.246,1.276,1.312
4.7244,1.241,1.23,1.27
4.7752,1.307,1.253,1.23
4.826,1.384,1.253,1.272