alpha,beta,mean,std
0,0,0.999433333,0.004933896
,22.5,0.7655,0.003251154
,45,0.4087,0.007070361
,67.5,0.143733333,0.000950438
,90,0.116733333,0.005178159
,112.5,0.308966667,0.00649333
,135,0.639066667,0.011252703
,157.5,0.936833333,0.015857595
,180,0.990966667,0.014135888
22.5,0,0.9604,0.007493998
,22.5,1.003533333,0.004645787
,45,0.817166667,0.004682236
,67.5,0.4125,0.0006245
,90,0.151266667,0.001556706
,112.5,0.086566667,0.001721434
,135,0.266733333,0.003178574
,157.5,0.609333333,0.003843609
,180,0.911366667,0.014610042
45,0,0.6442,0.00987269
,22.5,0.983133333,0.015089511
,45,1.0605,0.007926538
,67.5,0.815866667,0.024064566
,90,0.442266667,0.006703979
,112.5,0.148466667,0.001250333
,135,0.085866667,0.001814754
,157.5,0.299233333,0.006782576
,180,0.6837,0.009006664
67.5,0,0.3391,0.004058325
,22.5,0.7185,0.009650389
,45,1.0301,0.00762168
,67.5,1.1001,0.004660472
,90,0.812366667,0.008471324
,112.5,0.4627,0.004924429
,135,0.195866667,0.00340343
,157.5,0.129166667,0.002538372
,180,0.338366667,0.005632347
90,0,0.143166667,0.003859188
,22.5,0.347133333,0.004277071
,45,0.704866667,0.00664254
,67.5,1.0833,0.009606248
,90,1.022233333,0.005650074
,112.5,0.835666667,0.007892613
,135,0.530766667,0.003784618
,157.5,0.2373,0.006010824
,180,0.1406,0.004936598